org_id,organization_name,old_category,new_type,derived_state,needs_review
619,Western Region Load Despatch Centre,RLDC,RLDC,,
5152,NLDC and RLDCs,Other,Others,,YES
5153,Western Regional Power Committee,Government,Others,,YES
5154,Black Start Facilitated Stations,Other,Others,,YES
5155,Maharashtra State Load Despatch Centre,SLDC,State SLDC,Maharashtra,
5156,Gujarat State Load Despatch Centre,SLDC,State SLDC,Gujarat,
5157,Madhya Pradesh State Load Despatch Centre,SLDC,State SLDC,Madhya Pradesh,
5158,Chhattisgarh State Load Despatch Centre,SLDC,State SLDC,Chhattisgarh,
5159,Goa Electricity Department,SLDC,State SLDC,Goa,
5160,Daman and Diu,SLDC,State SLDC,Daman and Diu,
5161,Dadra and Nagar Haveli,SLDC,State SLDC,Dadra and Nagar Haveli,
5162,NTPC Mumbai Head Quarter (WR-1),Generator,Others,Maharashtra,YES
5163,NTPC Raipur Head Quarter (WR-2),Generator,Others,Chhattisgarh,YES
5164,Nuclear Power Stations in Western Region,Other,Others,,YES
5165,ISTS Connected RE Generators in Western Region,Other,Others,,YES
5166,Qualified Coordinating Agency,Other,Others,,YES
5167,Other Generating Stations in Western Region,Other,Others,,YES
5168,Other Transmission Licensees in Western Region,Other,Others,,YES
5169,Other Buyers in Western Region,Other,Others,,YES
5170,Other Users in Western Region,Other,Others,,YES
5171,"POWER SYSTEM OPERATION CORPORATION LIMITED National Load Despatch Centre (NLDC), New Delhi",Central Utility,Others,Delhi,YES
5172,Northern Regional Load Despatch Centre New Delhi,RLDC,RLDC,Delhi,
5173,"Eastern Regional Load Despatch Centre , Kolkata",RLDC,RLDC,West Bengal,
5174,"Southern Regional Load Despatch Centre, Bengaluru",RLDC,RLDC,Karnataka,
5175,"North Eastern Regional Load Despatch Centre, Shillong",RLDC,RLDC,Meghalaya,
5176,Indira Sagar,Generator,Others,Madhya Pradesh,YES
5177,Gandhi Sagar,Generator,Others,Madhya Pradesh,YES
5178,Pench,Generator,Others,Madhya Pradesh,YES
5179,Bargi,Generator,Others,Madhya Pradesh,YES
5180,Birshingpur,Generator,Others,Madhya Pradesh,YES
5181,Omkareshwar,Generator,Others,Madhya Pradesh,YES
5182,Tons,Generator,Others,Madhya Pradesh,YES
5183,Manikheda,Generator,Others,Madhya Pradesh,YES
5184,Rajghat,Generator,Others,Madhya Pradesh,YES
5185,UKAI,Generator,Others,Gujarat,YES
5186,SSNL,Generator,Others,Gujarat,YES
5187,Kadana,Generator,Others,Gujarat,YES
5188,GIPCL 1 & 2,Generator,Others,Gujarat,YES
5189,Dhuvaran,Generator,Others,Gujarat,YES
5190,Sugen,Generator,Others,Gujarat,YES
5191,Mini Hydro,Generator,Others,Gujarat,YES
5192,Khopoli & Bhivpuri,Generator,Others,Maharashtra,YES
5193,Bhira,Generator,Others,Maharashtra,YES
5194,"Koyna, Pophali",Generator,Others,Maharashtra,YES
5195,Ghatghar,Generator,Others,Maharashtra,YES
5196,Trombay,Generator,Others,Maharashtra,YES
5197,RGPPL,Generator,Others,Maharashtra,YES
5198,Paithan,Generator,Others,Maharashtra,YES
5199,Uran,Generator,Others,Maharashtra,YES
5200,Hasdeo Bango,Generator,Others,Chhattisgarh,YES
5201,Maharashtra State Electricity Transmission Co. Ltd.,Transmission Utility,STU,Maharashtra,
5202,"State Load Despatch Centre, MSETCL",SLDC,State SLDC,Maharashtra,
5203,"Area Load Despatch Centre, MSETCL,",SLDC,State SLDC,Maharashtra,
5204,Maharashtra State Electricity Distribution Co. Ltd.,Distribution Company,DISCOM,Maharashtra,
5205,MP POWER MANAGEMENT CO. LTD.,Government,Others,Madhya Pradesh,YES
5206,Madhya Pradesh Power Generation Company Limited,Generator,Others,Madhya Pradesh,YES
5207,NTPC Gandhar,Generator,Others,Maharashtra,YES
5208,NTPC Kawas,Generator,Others,Maharashtra,YES
5209,NTPC Mauda,Generator,Others,Maharashtra,YES
5210,NTPC Solapur,Generator,Others,Maharashtra,YES
5211,NTPC Gadarwara,Generator,Others,Madhya Pradesh,YES
5212,NTPC Khargone,Generator,Others,Madhya Pradesh,YES
5213,NTPC Korba,Generator,Others,Chhattisgarh,YES
5214,NTPC Lara,Generator,Others,Chhattisgarh,YES
5215,NTPC Sipat,Generator,Others,Chhattisgarh,YES
5216,NTPC Vindhyachal,Generator,Others,Madhya Pradesh,YES
5217,Tarapur Atomic Power Station Stg-1 & 2,Generator,Nuclear,Maharashtra,
5218,Tarapur Atomic Power Station Stg-3 & 4,Generator,Nuclear,Maharashtra,
5219,Kakrapar Atomic Power Station Stg-1 & 2,Generator,Nuclear,Gujarat,
5220,Kakrapar Atomic Power Station Stg-3 & 4,Generator,Nuclear,Gujarat,
5221,Athena Jaipur Solar Power Private Limited,RE Generator,IPP,Rajasthan,
5222,Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL,RE Generator,IPP,Gujarat,
5223,Arinsun Clean Energy Private Limited,RE Generator,IPP,,
5224,Green Infra Wind Energy Limited SECI –II & SECI -II,RE Generator,IPP,,
5225,INOX Green Energy Services Limited,RE Generator,IPP,,
5226,Mahindra Renewables Private Limited,RE Generator,IPP,,
5227,Ostro Kutch Wind Private Limited,RE Generator,IPP,Gujarat,
5228,ReNew Power Limited,RE Generator,IPP,,
5229,Alfanar Energy Private Limited,RE Generator,IPP,,
5230,ReNew Wind Energy (AP2) Private Limited,RE Generator,IPP,,
5231,Continuum Power Trading Private Limited,RE Generator,IPP,,
5232,Gujarat Industries Power Company Limited,Generator,IPP,Gujarat,
5233,Electro Solaire Private Limited,RE Generator,IPP,,
5234,Tata Power Renewable Energy Ltd.,RE Generator,IPP,,
5235,NTPC Kawas Solar PV project,RE Generator,IPP,Gujarat,
5236,NTPC Jhanor - Gandhar Solar PV project,RE Generator,IPP,Gujarat,
5237,Ostro Energy Private Limited,RE Generator,IPP,,
5238,Adani Wind Energy Kutch Three Limited,RE Generator,IPP,Gujarat,
5239,Adani Wind Energy Kutch Five Limited,RE Generator,IPP,Gujarat,
5240,Gujarat State Electricity Corporation Limited,Generator,IPP,Gujarat,
5241,Avikaran Solar India Private Limited,RE Generator,IPP,,
5242,Powerica Limited,RE Generator,IPP,,
5243,Sitac Kabini Renewables Private Limited,RE Generator,IPP,,
5244,Srijan Energy Systems Private Limited,RE Generator,IPP,,
5245,Solapur Solar PV Project,RE Generator,IPP,Maharashtra,
5246,Adani Wind Energy MP One Private Limited,RE Generator,IPP,,
5247,Adani Wind Energy Kutch Four Limited,RE Generator,IPP,Gujarat,
