org_id,organization_name,old_category,new_type,derived_state,needs_review
619,Western Region Load Despatch Centre,RLDC,RLDC,,
5152,NLDC and RLDCs,Others,Others,,YES
5153,Western Regional Power Committee,Others,Others,,YES
5154,Black Start Facilitated Stations,Others,Others,,YES
5155,Maharashtra State Load Despatch Centre,State SLDC,State SLDC,Maharashtra,
5156,Gujarat State Load Despatch Centre,State SLDC,State SLDC,Gujarat,
5157,Madhya Pradesh State Load Despatch Centre,State SLDC,State SLDC,Madhya Pradesh,
5158,Chhattisgarh State Load Despatch Centre,State SLDC,State SLDC,Chhattisgarh,
5159,Goa Electricity Department,State SLDC,State SLDC,Goa,
5160,Daman and Diu,State SLDC,State SLDC,Daman and Diu,
5161,Dadra and Nagar Haveli,State SLDC,State SLDC,Dadra and Nagar Haveli,
5162,NTPC Mumbai Head Quarter (WR-1),Others,Others,Maharashtra,YES
5163,NTPC Raipur Head Quarter (WR-2),Others,Others,Chhattisgarh,YES
5164,Nuclear Power Stations in Western Region,Others,Others,,YES
5165,ISTS Connected RE Generators in Western Region,Others,Others,,YES
5166,Qualified Coordinating Agency,Others,Others,,YES
5167,Other Generating Stations in Western Region,Others,Others,,YES
5168,Other Transmission Licensees in Western Region,Others,Others,,YES
5169,Other Buyers in Western Region,Others,Others,,YES
5170,Other Users in Western Region,Others,Others,,YES
5171,"POWER SYSTEM OPERATION CORPORATION LIMITED National Load Despatch Centre (NLDC), New Delhi",Others,Others,Delhi,YES
5172,Northern Regional Load Despatch Centre New Delhi,RLDC,RLDC,Delhi,
5173,"Eastern Regional Load Despatch Centre , Kolkata",RLDC,RLDC,West Bengal,
5174,"Southern Regional Load Despatch Centre, Bengaluru",RLDC,RLDC,Karnataka,
5175,"North Eastern Regional Load Despatch Centre, Shillong",RLDC,RLDC,Meghalaya,
5176,Indira Sagar,Others,Others,Madhya Pradesh,YES
5177,Gandhi Sagar,Others,Others,Madhya Pradesh,YES
5178,Pench,Others,Others,Madhya Pradesh,YES
5179,Bargi,Others,Others,Madhya Pradesh,YES
5180,Birshingpur,Others,Others,Madhya Pradesh,YES
5181,Omkareshwar,Others,Others,Madhya Pradesh,YES
5182,Tons,Others,Others,Madhya Pradesh,YES
5183,Manikheda,Others,Others,Madhya Pradesh,YES
5184,Rajghat,Others,Others,Madhya Pradesh,YES
5185,UKAI,Others,Others,Gujarat,YES
5186,SSNL,Others,Others,Gujarat,YES
5187,Kadana,Others,Others,Gujarat,YES
5188,GIPCL 1 & 2,Others,Others,Gujarat,YES
5189,Dhuvaran,Others,Others,Gujarat,YES
5190,Sugen,Others,Others,Gujarat,YES
5191,Mini Hydro,Others,Others,Gujarat,YES
5192,Khopoli & Bhivpuri,Others,Others,Maharashtra,YES
5193,Bhira,Others,Others,Maharashtra,YES
5194,"Koyna, Pophali",Others,Others,Maharashtra,YES
5195,Ghatghar,Others,Others,Maharashtra,YES
5196,Trombay,Others,Others,Maharashtra,YES
5197,RGPPL,Others,Others,Maharashtra,YES
5198,Paithan,Others,Others,Maharashtra,YES
5199,Uran,Others,Others,Maharashtra,YES
5200,Hasdeo Bango,Others,Others,Chhattisgarh,YES
5201,Maharashtra State Electricity Transmission Co. Ltd.,STU,STU,Maharashtra,
5202,"State Load Despatch Centre, MSETCL",State SLDC,State SLDC,Maharashtra,
5203,"Area Load Despatch Centre, MSETCL,",State SLDC,State SLDC,Maharashtra,
5204,Maharashtra State Electricity Distribution Co. Ltd.,DISCOM,DISCOM,Maharashtra,
5205,MP POWER MANAGEMENT CO. LTD.,Others,Others,Madhya Pradesh,YES
5206,Madhya Pradesh Power Generation Company Limited,Others,Others,Madhya Pradesh,YES
5207,NTPC Gandhar,Others,Others,Maharashtra,YES
5208,NTPC Kawas,Others,Others,Maharashtra,YES
5209,NTPC Mauda,Others,Others,Maharashtra,YES
5210,NTPC Solapur,Others,Others,Maharashtra,YES
5211,NTPC Gadarwara,Others,Others,Madhya Pradesh,YES
5212,NTPC Khargone,Others,Others,Madhya Pradesh,YES
5213,NTPC Korba,Others,Others,Chhattisgarh,YES
5214,NTPC Lara,Others,Others,Chhattisgarh,YES
5215,NTPC Sipat,Others,Others,Chhattisgarh,YES
5216,NTPC Vindhyachal,Others,Others,Madhya Pradesh,YES
5217,Tarapur Atomic Power Station Stg-1 & 2,Nuclear,Nuclear,Maharashtra,
5218,Tarapur Atomic Power Station Stg-3 & 4,Nuclear,Nuclear,Maharashtra,
5219,Kakrapar Atomic Power Station Stg-1 & 2,Nuclear,Nuclear,Gujarat,
5220,Kakrapar Atomic Power Station Stg-3 & 4,Nuclear,Nuclear,Gujarat,
5221,Athena Jaipur Solar Power Private Limited,IPP,IPP,Rajasthan,
5222,Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL,IPP,IPP,Gujarat,
5223,Arinsun Clean Energy Private Limited,IPP,IPP,,
5224,Green Infra Wind Energy Limited SECI –II & SECI -II,IPP,IPP,,
5225,INOX Green Energy Services Limited,IPP,IPP,,
5226,Mahindra Renewables Private Limited,IPP,IPP,,
5227,Ostro Kutch Wind Private Limited,IPP,IPP,Gujarat,
5228,ReNew Power Limited,IPP,IPP,,
5229,Alfanar Energy Private Limited,IPP,IPP,,
5230,ReNew Wind Energy (AP2) Private Limited,IPP,IPP,,
5231,Continuum Power Trading Private Limited,IPP,IPP,,
5232,Gujarat Industries Power Company Limited,IPP,IPP,Gujarat,
5233,Electro Solaire Private Limited,IPP,IPP,,
5234,Tata Power Renewable Energy Ltd.,IPP,IPP,,
5235,NTPC Kawas Solar PV project,IPP,IPP,Gujarat,
5236,NTPC Jhanor - Gandhar Solar PV project,IPP,IPP,Gujarat,
5237,Ostro Energy Private Limited,IPP,IPP,,
5238,Adani Wind Energy Kutch Three Limited,IPP,IPP,Gujarat,
5239,Adani Wind Energy Kutch Five Limited,IPP,IPP,Gujarat,
5240,Gujarat State Electricity Corporation Limited,IPP,IPP,Gujarat,
5241,Avikaran Solar India Private Limited,IPP,IPP,,
5242,Powerica Limited,IPP,IPP,,
5243,Sitac Kabini Renewables Private Limited,IPP,IPP,,
5244,Srijan Energy Systems Private Limited,IPP,IPP,,
5245,Solapur Solar PV Project,IPP,IPP,Maharashtra,
5246,Adani Wind Energy MP One Private Limited,IPP,IPP,,
5247,Adani Wind Energy Kutch Four Limited,IPP,IPP,Gujarat,
5248,Apraava Energy Private Limited (AEPL),IPP,IPP,,
5249,Alfanar Netra Wind Private Limited,IPP,IPP,,
5250,Sherisha Raipur,IPP,IPP,Chhattisgarh,
5251,Wind One Renergy Limited,IPP,IPP,,
5252,Wind Two Renergy Private Limited,IPP,IPP,,
5253,Wind Three Renergy Limited,IPP,IPP,,
5254,Wind Five Renergy Limited,IPP,IPP,,
5255,Gujarat State Electricity Corporation Limited- Phase II,IPP,IPP,Gujarat,
5256,TEQ Green Power XI Private Limited,IPP,IPP,,
5257,NTPC Renewable Energy Limited Shajapur Unit-1,IPP,IPP,,
5258,NTPC Renewable Energy Limited Shajapur Unit-2,IPP,IPP,,
5259,NTPC Renewable Energy Ltd (Dayapar WEP-Ph-1),IPP,IPP,,
5260,TP Saurya Limited Unit-1,IPP,IPP,,
5261,TP Saurya Limited Unit-2,IPP,IPP,,
5262,MASAYA SOLAR ENERGY PRIVATE LIMITED,IPP,IPP,,
5263,Torrent Power Limited,IPP,IPP,,
5264,Talettutayi Solar Projects Nine Pvt Ltd,IPP,IPP,,
5265,SJVN Green Energy Limited,IPP,IPP,,
5266,Renew Green (MHS ONE) Private Limited,IPP,IPP,,
5267,ReNew Green (MHP One) Private Limited,IPP,IPP,,
5268,BEEMPOW ENERGY PRIVATE LIMITED,IPP,IPP,,
5269,AVAADA SUNSHINE ENERGY PRIVATE LIMITED,IPP,IPP,,
5270,Adani Green Energy Twenty Six A Limited -PSS3,IPP,IPP,,
5271,Adani Green Energy Twenty Six B Limited -PSS3,IPP,IPP,,
5272,Adani Green Energy Twenty Five A Limited -PSS3,IPP,IPP,,
5273,Adani Green Energy Twenty Five B Limited -PSS3,IPP,IPP,,
5274,Adani Green Energy Twenty Four A Limited -PSS3,IPP,IPP,,
5275,Adani Renewable Energy Fifty Five Limited - PSS3,IPP,IPP,,
5276,Adani Renewable Energy Forty One Limited PSS-13,IPP,IPP,,
5277,Adani Renewable Energy Fifty Seven Limited PSS-13,IPP,IPP,,
5278,Ambuja Cements Limited -PSS-4,IPP,IPP,,
5279,Ambuja Cements Limited-PSS-3,IPP,IPP,,
5280,Adani Hazira Port Limited-PSS3,IPP,IPP,Gujarat,
5281,Adani Renewable Energy Forty Eight Limited-PSS9,IPP,IPP,,
